960,987,962,994
962,994,982,986
982,986,968,958
968,958,945,957
945,957,929,950
929,950,937,901
937,901,893,879
893,879,848,858
848,858,830,812
830,812,877,795
877,795,881,745
881,745,881,695
881,695,870,647
870,647,858,599
858,599,853,550
853,550,835,504
835,504,810,461
810,461,772,430
772,430,749,386
749,386,731,340
731,340,756,296
756,296,774,249
774,249,755,203
755,203,734,158
734,158,751,111
751,111,710,83
710,83,681,72
681,72,632,81
632,81,586,62
586,62,538,51
538,51,488,57
488,57,458,97
458,97,494,134
494,134,469,178
469,178,421,193
421,193,404,241
404,241,355,248
355,248,310,228
310,228,261,233
261,233,219,206
219,206,202,160
202,160,164,129
164,129,160,79
160,79,111,84
111,84,62,90
62,90,59,41
59,41,12,25
12,25,12,25
